permno,date,prc,ret
14593.0,1986-09-05,35.125,-0.01056338008493185
14593.0,1986-09-08,34.75,-0.010676156729459763
14593.0,1986-09-09,35.75,0.028776979073882103
14593.0,1986-09-10,35.0,-0.02097902074456215
14593.0,1986-09-11,32.625,-0.06785714626312256
14593.0,1986-09-12,31.75,-0.026819923892617226
14593.0,1986-09-15,33.125,0.04330708831548691
14593.0,1986-09-16,34.875,0.05283018946647644
14593.0,1986-09-17,34.25,-0.017921147868037224
14593.0,1986-09-18,34.0,-0.007299270015209913
14593.0,1986-09-19,33.625,-0.011029412038624287
14593.0,1986-09-22,35.25,0.048327136784791946
14593.0,1986-09-23,36.125,0.024822695180773735
14593.0,1986-09-24,35.125,-0.027681661769747734
14593.0,1986-09-25,34.5,-0.017793593928217888
14593.0,1986-09-26,34.25,-0.007246376946568489
14593.0,1986-09-29,32.5,-0.051094889640808105
14593.0,1986-09-30,33.5,0.03076923079788685
14593.0,1986-10-01,34.125,0.018656715750694275
14593.0,1986-10-02,34.125,0.0
14593.0,1986-10-03,33.75,-0.010989011265337467
14593.0,1986-10-06,34.125,0.011111111380159855
14593.0,1986-10-07,33.0,-0.032967034727334976
14593.0,1986-10-08,32.75,-0.007575757801532745
14593.0,1986-10-09,33.0,0.007633587811142206
14593.0,1986-10-10,33.25,0.007575757801532745
14593.0,1986-10-13,34.625,0.04135338217020035
14593.0,1986-10-14,34.0,-0.018050542101264
14593.0,1986-10-15,33.375,-0.018382353708148003
14593.0,1986-10-16,33.625,0.00749063678085804
14593.0,1986-10-17,33.625,0.0
14593.0,1986-10-20,32.875,-0.022304832935333252
14593.0,1986-10-21,32.75,-0.0038022813387215137
14593.0,1986-10-22,32.5,-0.007633587811142206
14593.0,1986-10-23,33.125,0.01923076994717121
14593.0,1986-10-24,33.0,-0.0037735849618911743
14593.0,1986-10-27,34.0,0.03030303120613098
14593.0,1986-10-28,33.375,-0.018382353708148003
14593.0,1986-10-29,33.375,0.0
14593.0,1986-10-30,34.25,0.026217227801680565
14593.0,1986-10-31,34.625,0.010948904789984226
14593.0,1986-11-03,35.0,0.010830325074493885
14593.0,1986-11-04,35.75,0.02142857201397419
14593.0,1986-11-05,37.0,0.03496503457427025
14593.0,1986-11-06,36.125,-0.02364864945411682
14593.0,1986-11-07,35.75,-0.010380622930824757
14593.0,1986-11-10,35.375,-0.010489510372281075
14593.0,1986-11-11,35.5,0.0035335689317435026
14593.0,1986-11-12,36.625,0.03169013932347298
14593.0,1986-11-13,35.5,-0.030716722831130028
14593.0,1986-11-14,35.25,-0.007042253389954567
14593.0,1986-11-17,36.375,0.03191489353775978
14593.0,1986-11-18,35.375,-0.027491409331560135
14593.0,1986-11-19,35.0,-0.010600706562399864
14593.0,1986-11-20,35.25,0.0071428571827709675
14593.0,1986-11-21,36.0,0.021276595070958138
14593.0,1986-11-24,38.0,0.0555555559694767
14593.0,1986-11-25,40.25,0.05921052768826485
14593.0,1986-11-26,40.5,0.006211180239915848
14593.0,1986-11-28,40.0,-0.012345679104328156
14593.0,1986-12-01,40.125,0.0031250000465661287
14593.0,1986-12-02,41.5,0.034267913550138474
14593.0,1986-12-03,42.75,0.0301204826682806
14593.0,1986-12-04,42.5,-0.005847953259944916
14593.0,1986-12-05,43.75,0.029411764815449715
14593.0,1986-12-08,42.5,-0.02857142873108387
14593.0,1986-12-09,42.375,-0.0029411765281111
14593.0,1986-12-10,43.5,0.02654867246747017
14593.0,1986-12-11,42.875,-0.014367816038429737
14593.0,1986-12-12,41.25,-0.03790087625384331
14593.0,1986-12-15,41.75,0.012121211737394333
14593.0,1986-12-16,42.5,0.01796407252550125
14593.0,1986-12-17,41.25,-0.029411764815449715
14593.0,1986-12-18,41.375,0.0030303029343485832
14593.0,1986-12-19,42.125,0.01812688820064068
14593.0,1986-12-22,42.125,0.0
14593.0,1986-12-23,42.125,0.0
14593.0,1986-12-24,41.875,-0.005934718064963818
14593.0,1986-12-26,41.0,-0.020895522087812424
14593.0,1986-12-29,40.5,-0.012195121496915817
14593.0,1986-12-30,41.0,0.012345679104328156
14593.0,1986-12-31,40.5,-0.012195121496915817
14593.0,1987-01-02,40.875,0.009259259328246117
14593.0,1987-01-05,43.0,0.05198776721954346
14593.0,1987-01-06,43.75,0.01744186133146286
14593.0,1987-01-07,44.75,0.022857142612338066
14593.0,1987-01-08,44.75,0.0
14593.0,1987-01-09,45.375,0.013966480270028114
14593.0,1987-01-12,45.5,0.002754820976406336
14593.0,1987-01-13,44.625,-0.01923076994717121
14593.0,1987-01-14,48.125,0.0784313753247261
14593.0,1987-01-15,49.875,0.036363635212183
14593.0,1987-01-16,48.75,-0.02255639061331749
14593.0,1987-01-19,53.125,0.08974359184503555
14593.0,1987-01-20,51.625,-0.028235293924808502
14593.0,1987-01-21,49.0,-0.050847455859184265
14593.0,1987-01-22,52.5,0.0714285746216774
14593.0,1987-01-23,50.25,-0.04285714402794838
14593.0,1987-01-26,49.75,-0.009950248524546623
14593.0,1987-01-27,52.75,0.060301508754491806
14593.0,1987-01-28,55.375,0.0497630350291729
14593.0,1987-01-29,54.125,-0.022573363035917282
14593.0,1987-01-30,55.5,0.025404157117009163
14593.0,1987-02-02,55.875,0.006756756920367479
14593.0,1987-02-03,55.5,-0.00671140942722559
14593.0,1987-02-04,55.0,-0.009009009227156639
14593.0,1987-02-05,53.875,-0.020454544574022293
14593.0,1987-02-06,53.0,-0.016241298988461494
14593.0,1987-02-09,52.625,-0.007075471803545952
14593.0,1987-02-10,52.75,0.0023752970155328512
14593.0,1987-02-11,56.5,0.07109005004167557
14593.0,1987-02-12,58.625,0.03761062026023865
14593.0,1987-02-13,62.125,0.05970149114727974
14593.0,1987-02-17,66.375,0.0684104636311531
14593.0,1987-02-18,63.5,-0.04331450164318085
14593.0,1987-02-19,62.375,-0.017716536298394203
14593.0,1987-02-20,61.25,-0.018036073073744774
14593.0,1987-02-23,63.125,0.030612245202064514
14593.0,1987-02-24,65.5,0.03762376308441162
14593.0,1987-02-25,69.125,0.05534351244568825
14593.0,1987-02-26,69.125,0.0
14593.0,1987-02-27,70.0,0.012658228166401386
14593.0,1987-03-02,67.5,-0.0357142873108387
14593.0,1987-03-03,65.0,-0.03703703731298447
14593.0,1987-03-04,67.625,0.04038461670279503
14593.0,1987-03-05,68.5,0.012939001433551311
14593.0,1987-03-06,67.25,-0.018248174339532852
14593.0,1987-03-09,64.625,-0.03903345763683319
14593.0,1987-03-10,66.75,0.03288201242685318
14593.0,1987-03-11,66.25,-0.00749063678085804
14593.0,1987-03-12,65.25,-0.015094339847564697
14593.0,1987-03-13,63.5,-0.026819923892617226
14593.0,1987-03-16,65.25,0.027559055015444756
14593.0,1987-03-17,67.0,0.026819923892617226
14593.0,1987-03-18,66.0,-0.014925372786819935
14593.0,1987-03-19,68.375,0.03598484769463539
14593.0,1987-03-20,68.25,-0.0018281536176800728
14593.0,1987-03-23,67.5,-0.010989011265337467
14593.0,1987-03-24,66.25,-0.018518518656492233
14593.0,1987-03-25,66.75,0.007547169923782349
14593.0,1987-03-26,67.25,0.00749063678085804
14593.0,1987-03-27,65.0,-0.03345724940299988
14593.0,1987-03-30,62.5,-0.03846153989434242
14593.0,1987-03-31,64.5,0.03200000151991844
14593.0,1987-04-01,66.75,0.03488372266292572
14593.0,1987-04-02,71.75,0.0749063640832901
14593.0,1987-04-03,71.75,0.0
14593.0,1987-04-06,70.0,-0.024390242993831635
14593.0,1987-04-07,67.75,-0.03214285895228386
14593.0,1987-04-08,69.0,0.018450183793902397
14593.0,1987-04-09,71.0,0.028985507786273956
14593.0,1987-04-10,70.25,-0.01056338008493185
14593.0,1987-04-13,67.5,-0.03914590924978256
14593.0,1987-04-14,68.0,0.007407407276332378
14593.0,1987-04-15,71.0,0.04411764815449715
14593.0,1987-04-16,71.5,0.007042253389954567
14593.0,1987-04-20,71.125,-0.005244755186140537
14593.0,1987-04-21,74.75,0.05096660926938057
14593.0,1987-04-22,74.25,-0.006688963156193495
14593.0,1987-04-23,76.0,0.023569023236632347
14593.0,1987-04-24,74.75,-0.016447369009256363
14593.0,1987-04-27,75.0,0.0033444815780967474
14593.0,1987-04-28,77.0,0.02666666731238365
14593.0,1987-04-29,77.75,0.009740259498357773
14593.0,1987-04-30,79.25,0.01929260417819023
14593.0,1987-05-01,80.0,0.009463722817599773
14593.0,1987-05-04,79.75,-0.0031250000465661287
14593.0,1987-05-05,80.25,0.006269592326134443
14593.0,1987-05-06,80.0,-0.0031152646988630295
14593.0,1987-05-07,80.25,0.0031250000465661287
14593.0,1987-05-08,79.0,-0.015576324425637722
14593.0,1987-05-11,77.0,-0.023797469213604927
14593.0,1987-05-12,75.5,-0.019480518996715546
14593.0,1987-05-13,78.5,0.0397351011633873
14593.0,1987-05-14,79.25,0.009554140269756317
14593.0,1987-05-15,78.25,-0.012618296779692173
14593.0,1987-05-18,75.75,-0.03194888308644295
14593.0,1987-05-19,73.25,-0.0330033004283905
14593.0,1987-05-20,74.5,0.01706484705209732
14593.0,1987-05-21,74.5,0.0
14593.0,1987-05-22,74.125,-0.005033556837588549
14593.0,1987-05-26,78.0,0.05227655917406082
14593.0,1987-05-27,79.5,0.01923076994717121
14593.0,1987-05-28,80.0,0.006289307959377766
14593.0,1987-05-29,79.0,-0.012500000186264515
14593.0,1987-06-01,77.75,-0.01582278497517109
14593.0,1987-06-02,77.25,-0.006430868059396744
14593.0,1987-06-03,77.75,0.006472492124885321
14593.0,1987-06-04,78.5,0.009646302089095116
14593.0,1987-06-05,77.75,-0.009554140269756317
14593.0,1987-06-08,77.75,0.0
14593.0,1987-06-09,78.5,0.009646302089095116
14593.0,1987-06-10,78.5,0.0
14593.0,1987-06-11,79.0,0.006369426846504211
14593.0,1987-06-12,79.0,0.0
